inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,3,410,22,363,2026-01-27
2,2,2,219,48,644,2025-07-31
3,3,1,411,26,331,2026-01-15
4,3,1,265,46,620,2025-07-27
5,3,4,272,48,965,2024-01-24
6,4,3,363,25,345,2025-05-19
7,4,4,165,45,372,2025-09-27
8,5,5,415,40,696,2025-01-01
9,5,3,464,14,947,2024-01-12
10,6,3,476,29,219,2024-06-25
11,7,5,184,18,318,2025-02-14
12,7,2,118,28,482,2025-08-02
13,8,5,353,27,342,2024-07-07
14,9,4,200,44,593,2024-05-30
15,10,2,279,19,741,2025-09-24
16,11,2,495,36,949,2024-09-21
17,12,1,42,13,362,2025-12-23
18,13,4,32,36,626,2024-10-05
19,14,2,299,11,427,2024-03-30
20,14,4,249,17,406,2024-06-21
21,14,2,363,48,203,2024-06-09
22,15,2,273,48,889,2024-03-21
23,15,5,357,21,888,2024-03-19
24,16,5,57,22,709,2025-09-30
25,17,2,331,41,510,2024-05-04
26,17,4,121,41,994,2025-01-16
27,18,5,186,33,977,2025-01-15
28,18,5,479,46,241,2024-05-25
29,18,1,317,13,829,2024-12-26
30,19,2,419,33,989,2024-08-10
31,19,2,213,23,983,2024-09-09
32,20,1,115,20,295,2024-02-04
33,21,5,53,31,548,2025-03-16
34,22,1,68,27,392,2025-03-22
35,22,5,300,12,443,2025-01-02
36,23,4,69,49,337,2025-11-17
37,23,2,219,41,881,2025-06-05
38,24,1,53,17,735,2024-11-09
39,24,1,176,41,927,2024-12-23
40,25,5,187,22,567,2024-12-18
41,25,5,466,44,690,2026-03-03
42,26,2,266,38,856,2026-02-25
43,26,4,275,27,682,2024-04-14
44,27,5,209,33,786,2025-08-16
45,28,4,50,20,340,2024-08-30
46,28,2,186,29,434,2024-02-07
47,29,4,90,24,246,2024-04-07
48,29,3,410,42,990,2024-04-19
49,30,3,18,24,481,2024-06-12
50,31,1,40,46,514,2024-10-17
51,31,1,289,22,722,2025-06-03
52,32,5,240,36,794,2025-12-11
53,32,2,18,11,459,2025-02-19
54,33,3,280,10,820,2025-11-30
55,33,5,172,14,348,2024-05-24
56,34,1,442,23,943,2024-01-13
57,34,2,355,30,306,2025-08-23
58,35,4,441,39,829,2025-02-01
59,35,5,198,37,713,2026-03-04
60,35,5,69,44,768,2024-02-11
61,36,4,419,33,405,2026-03-02
62,37,4,137,22,553,2024-12-15
63,38,5,328,35,714,2024-08-03
64,38,2,479,34,716,2025-10-05
65,38,5,144,46,437,2025-12-08
66,39,5,32,10,825,2024-12-17
67,39,5,475,41,990,2025-11-19
68,40,5,496,30,806,2024-02-14
69,40,5,233,18,569,2025-10-05
70,41,3,191,31,987,2024-07-11
71,41,3,150,48,245,2025-08-06
72,42,2,350,37,697,2024-10-07
73,42,4,82,50,565,2024-06-05
74,43,5,37,16,268,2024-04-19
75,43,3,364,19,836,2025-09-18
76,44,1,214,31,507,2024-04-05
77,44,3,200,40,704,2024-04-22
78,44,1,304,26,894,2025-12-15
79,45,3,422,36,741,2024-12-01
80,45,5,390,40,249,2026-03-03
81,46,1,230,20,658,2024-08-23
82,47,3,409,13,519,2024-07-01
83,47,1,34,50,389,2024-02-07
84,48,3,388,46,416,2025-01-04
85,48,2,260,32,520,2024-06-26
86,48,2,40,33,709,2024-06-09
87,49,1,276,37,749,2024-02-04
88,49,4,213,16,685,2024-03-23
89,49,1,489,13,641,2025-02-26
90,50,4,379,25,508,2025-04-01
91,51,4,319,41,508,2025-01-26
92,51,5,419,24,947,2025-12-25
93,52,4,15,11,976,2026-01-18
94,52,1,87,41,386,2025-07-28
95,53,2,485,19,594,2024-08-07
96,53,2,43,35,956,2025-06-18
97,54,1,87,29,410,2025-03-28
98,54,5,405,46,678,2025-08-04
99,54,5,99,19,717,2024-01-30
100,55,4,32,17,371,2024-08-12
101,55,3,385,20,818,2026-01-17
102,56,3,89,20,518,2024-04-08
103,56,4,397,46,975,2024-05-21
104,57,2,234,31,331,2025-08-28
105,57,1,244,44,275,2024-09-20
106,58,4,185,36,243,2026-02-05
107,58,2,232,46,797,2024-05-12
108,59,4,486,48,388,2024-02-06
109,59,5,425,47,203,2024-07-26
110,59,1,123,20,488,2024-10-14
111,60,5,194,22,469,2024-01-15
112,60,2,412,22,824,2024-10-11
113,61,1,224,29,818,2024-04-06
114,62,1,157,11,417,2026-02-14
115,62,5,314,38,839,2025-04-16
116,63,2,71,44,573,2026-03-01
117,63,2,408,20,250,2024-03-09
118,64,1,492,26,763,2025-09-12
119,64,5,435,28,927,2025-08-17
120,64,4,426,19,609,2025-10-29
121,65,2,242,24,967,2024-02-01
122,65,3,109,21,930,2025-07-28
123,66,5,142,32,904,2026-01-17
124,67,2,496,41,449,2025-06-13
125,68,5,13,47,367,2024-05-05
126,69,5,208,17,882,2025-02-05
127,70,4,97,12,379,2024-01-22
128,70,1,365,36,527,2024-06-01
129,71,3,251,45,616,2026-02-08
130,71,1,212,24,539,2025-10-07
