order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,14,3,444.98,1334.94
2,1,10,2,355.47,710.94
3,1,41,5,129.84,649.2
4,2,55,3,148.84,446.52
5,2,8,1,119.39,119.39
6,2,12,1,458.36,458.36
7,2,59,2,217.48,434.96
8,3,2,2,365.81,731.62
9,3,69,5,474.83,2374.15
10,3,80,2,15.77,31.54
11,4,91,4,267.41,1069.64
12,4,15,2,271.65,543.3
13,4,56,4,262.46,1049.84
14,4,69,4,474.83,1899.32
15,5,2,3,365.81,1097.43
16,5,30,3,79.6,238.8
17,5,28,3,338.73,1016.19
18,5,94,4,25.54,102.16
19,5,88,1,457.23,457.23
20,6,5,2,41.82,83.64
21,6,40,4,295.42,1181.68
22,7,34,3,348.91,1046.73
23,7,92,4,86.91,347.64
24,7,37,5,344.56,1722.8
25,8,15,1,271.65,271.65
26,8,99,2,300.02,600.04
27,9,1,4,349.63,1398.52
28,9,31,4,5.09,20.36
29,9,10,4,355.47,1421.88
30,10,32,3,27.18,81.54
31,10,77,1,338.32,338.32
32,10,37,4,344.56,1378.24
33,11,58,2,125.93,251.86
34,11,100,5,304.07,1520.35
35,11,27,5,199.62,998.1
36,11,10,3,355.47,1066.41
37,11,13,2,205.95,411.9
38,12,30,2,79.6,159.2
39,12,61,4,137.94,551.76
40,12,51,2,68.81,137.62
41,13,84,1,231.72,231.72
42,13,81,3,190.81,572.43
43,13,50,3,53.82,161.46
44,13,61,3,137.94,413.82
45,14,6,3,123.18,369.54
46,14,58,2,125.93,251.86
47,14,7,1,494.45,494.45
48,15,1,2,349.63,699.26
49,15,21,3,285.68,857.04
50,15,4,2,387.21,774.42
51,15,62,5,24.46,122.3
52,16,28,1,338.73,338.73
53,16,97,3,459.39,1378.17
54,16,49,2,48.28,96.56
55,16,75,4,54.82,219.28
56,16,87,3,499.61,1498.83
57,17,31,1,5.09,5.09
58,17,8,5,119.39,596.95
59,18,40,3,295.42,886.26
60,19,97,3,459.39,1378.17
61,19,64,3,131.45,394.35
62,20,38,3,308.76,926.28
63,20,64,3,131.45,394.35
64,20,3,5,222.37,1111.85
65,20,50,5,53.82,269.1
66,21,45,2,60.95,121.9
67,22,55,1,148.84,148.84
68,23,44,1,275.97,275.97
69,23,29,5,201.64,1008.2
70,23,55,3,148.84,446.52
71,23,76,1,369.33,369.33
72,23,12,3,458.36,1375.08
73,24,7,1,494.45,494.45
74,25,85,2,44.53,89.06
75,25,1,2,349.63,699.26
76,25,56,3,262.46,787.38
77,25,17,3,208.38,625.14
78,26,9,2,475.18,950.36
79,26,71,5,228.07,1140.35
80,27,61,1,137.94,137.94
81,27,15,1,271.65,271.65
82,27,48,5,90.18,450.9
83,27,46,2,22.72,45.44
84,28,87,1,499.61,499.61
85,28,54,3,459.5,1378.5
86,28,83,5,248.56,1242.8
87,29,25,2,219.41,438.82
88,29,28,2,338.73,677.46
89,29,79,2,181.2,362.4
90,29,20,3,468.19,1404.57
91,29,84,4,231.72,926.88
92,30,24,4,124.22,496.88
93,30,31,4,5.09,20.36
94,30,28,4,338.73,1354.92
95,31,49,4,48.28,193.12
96,31,15,2,271.65,543.3
97,31,17,1,208.38,208.38
98,31,84,4,231.72,926.88
99,32,85,4,44.53,178.12
100,32,46,2,22.72,45.44
101,32,76,4,369.33,1477.32
102,32,62,3,24.46,73.38
103,32,62,5,24.46,122.3
104,33,40,5,295.42,1477.1
105,33,56,1,262.46,262.46
106,34,57,2,129.78,259.56
107,34,100,5,304.07,1520.35
108,34,26,3,422.35,1267.05
109,34,39,2,73.96,147.92
110,35,87,1,499.61,499.61
111,35,99,4,300.02,1200.08
112,35,38,4,308.76,1235.04
113,35,21,5,285.68,1428.4
114,36,36,1,256.3,256.3
115,36,12,4,458.36,1833.44
116,37,99,4,300.02,1200.08
117,37,78,1,485.18,485.18
118,37,99,3,300.02,900.06
119,38,90,2,495.83,991.66
120,38,96,5,226.88,1134.4
121,39,42,2,495.44,990.88
122,39,92,5,86.91,434.55
123,39,22,5,132.73,663.65
124,39,60,4,285.16,1140.64
125,39,30,5,79.6,398
126,40,50,4,53.82,215.28
127,40,44,3,275.97,827.91
128,40,58,2,125.93,251.86
129,40,52,3,282.24,846.72
130,40,18,2,147.41,294.82
131,41,82,1,50.53,50.53
132,41,45,3,60.95,182.85
133,41,25,5,219.41,1097.05
134,41,82,5,50.53,252.65
135,42,33,4,465.91,1863.64
136,42,44,3,275.97,827.91
137,43,39,5,73.96,369.8
138,43,93,4,332.77,1331.08
139,44,4,3,387.21,1161.63
140,44,92,5,86.91,434.55
141,44,67,5,129.58,647.9
142,44,80,3,15.77,47.31
143,45,78,3,485.18,1455.54
144,46,53,5,485,2425
145,47,55,3,148.84,446.52
146,47,21,5,285.68,1428.4
147,47,25,1,219.41,219.41
148,47,41,3,129.84,389.52
149,48,64,1,131.45,131.45
150,48,2,5,365.81,1829.05
151,49,50,3,53.82,161.46
152,49,28,2,338.73,677.46
153,49,23,2,374.08,748.16
154,49,25,1,219.41,219.41
155,49,58,2,125.93,251.86
156,50,52,2,282.24,564.48
157,50,75,2,54.82,109.64
158,51,77,2,338.32,676.64
159,51,77,4,338.32,1353.28
160,51,60,1,285.16,285.16
161,51,66,3,484.65,1453.95
162,51,97,3,459.39,1378.17
163,52,47,2,195.47,390.94
164,53,54,4,459.5,1838
165,53,32,2,27.18,54.36
166,53,5,1,41.82,41.82
167,54,12,4,458.36,1833.44
168,55,97,4,459.39,1837.56
169,55,86,4,306.93,1227.72
170,55,80,5,15.77,78.85
171,56,73,3,445.17,1335.51
172,56,32,2,27.18,54.36
173,56,80,5,15.77,78.85
174,56,66,4,484.65,1938.6
175,57,22,4,132.73,530.92
176,57,89,4,33.05,132.2
177,58,32,3,27.18,81.54
178,59,77,5,338.32,1691.6
179,59,12,3,458.36,1375.08
180,59,21,5,285.68,1428.4
181,60,69,2,474.83,949.66
182,60,43,2,471.99,943.98
183,60,69,4,474.83,1899.32
184,61,17,4,208.38,833.52
185,61,46,4,22.72,90.88
186,61,62,1,24.46,24.46
187,62,60,1,285.16,285.16
188,63,17,5,208.38,1041.9
189,63,91,2,267.41,534.82
190,64,81,4,190.81,763.24
191,64,29,3,201.64,604.92
192,64,8,3,119.39,358.17
193,65,48,1,90.18,90.18
194,65,35,1,362.46,362.46
195,65,34,3,348.91,1046.73
196,65,85,3,44.53,133.59
197,66,5,5,41.82,209.1
198,67,62,1,24.46,24.46
199,67,83,5,248.56,1242.8
200,68,45,1,60.95,60.95
201,68,43,2,471.99,943.98
202,68,25,2,219.41,438.82
203,68,24,4,124.22,496.88
204,69,79,4,181.2,724.8
205,69,55,4,148.84,595.36
206,69,3,5,222.37,1111.85
207,70,53,3,485,1455
208,70,25,4,219.41,877.64
209,70,31,5,5.09,25.45
210,70,61,2,137.94,275.88
211,70,28,2,338.73,677.46
212,71,22,3,132.73,398.19
213,71,81,2,190.81,381.62
214,72,34,4,348.91,1395.64
215,72,11,3,40.17,120.51
216,72,59,2,217.48,434.96
217,73,4,1,387.21,387.21
218,73,29,5,201.64,1008.2
219,73,38,3,308.76,926.28
220,73,52,5,282.24,1411.2
221,74,49,2,48.28,96.56
222,74,19,1,153.82,153.82
223,75,35,2,362.46,724.92
224,75,42,4,495.44,1981.76
225,75,88,3,457.23,1371.69
226,75,11,2,40.17,80.34
227,76,24,4,124.22,496.88
228,76,29,4,201.64,806.56
229,77,28,4,338.73,1354.92
230,77,90,4,495.83,1983.32
231,77,81,4,190.81,763.24
232,77,51,4,68.81,275.24
233,77,96,1,226.88,226.88
234,78,13,4,205.95,823.8
235,78,31,5,5.09,25.45
236,78,55,3,148.84,446.52
237,79,70,3,171.06,513.18
238,79,3,4,222.37,889.48
239,79,54,3,459.5,1378.5
240,79,93,2,332.77,665.54
241,79,95,3,182.11,546.33
242,80,91,5,267.41,1337.05
243,80,81,5,190.81,954.05
244,80,24,4,124.22,496.88
245,81,4,4,387.21,1548.84
246,81,46,4,22.72,90.88
247,81,23,5,374.08,1870.4
248,81,56,4,262.46,1049.84
249,82,13,4,205.95,823.8
250,82,35,4,362.46,1449.84
251,82,98,2,497.8,995.6
252,82,42,4,495.44,1981.76
253,83,87,4,499.61,1998.44
254,83,54,2,459.5,919
255,84,51,2,68.81,137.62
256,84,88,1,457.23,457.23
257,84,85,3,44.53,133.59
258,84,42,5,495.44,2477.2
259,85,55,4,148.84,595.36
260,85,71,3,228.07,684.21
261,85,19,1,153.82,153.82
262,85,44,5,275.97,1379.85
263,86,26,3,422.35,1267.05
264,87,24,5,124.22,621.1
265,87,42,2,495.44,990.88
266,88,13,5,205.95,1029.75
267,89,98,2,497.8,995.6
268,89,41,1,129.84,129.84
269,90,20,1,468.19,468.19
270,90,1,4,349.63,1398.52
271,90,18,2,147.41,294.82
272,91,9,1,475.18,475.18
273,91,65,1,423.49,423.49
274,91,37,2,344.56,689.12
275,91,7,2,494.45,988.9
276,91,82,5,50.53,252.65
277,92,71,2,228.07,456.14
278,93,10,4,355.47,1421.88
279,93,11,3,40.17,120.51
280,94,85,3,44.53,133.59
281,94,9,1,475.18,475.18
282,94,95,4,182.11,728.44
283,94,18,4,147.41,589.64
284,94,30,3,79.6,238.8
285,95,57,3,129.78,389.34
286,95,93,5,332.77,1663.85
287,95,98,5,497.8,2489
288,95,77,1,338.32,338.32
289,95,93,1,332.77,332.77
290,96,27,1,199.62,199.62
291,96,84,5,231.72,1158.6
292,96,61,1,137.94,137.94
293,96,51,3,68.81,206.43
294,97,81,2,190.81,381.62
295,97,1,4,349.63,1398.52
296,98,16,1,165.55,165.55
297,98,57,2,129.78,259.56
298,98,89,3,33.05,99.15
299,98,2,5,365.81,1829.05
300,98,70,2,171.06,342.12
301,99,87,3,499.61,1498.83
302,99,94,3,25.54,76.62
303,99,96,1,226.88,226.88
304,99,31,4,5.09,20.36
305,100,16,1,165.55,165.55
306,101,46,4,22.72,90.88
307,102,92,3,86.91,260.73
308,102,92,4,86.91,347.64
309,102,52,3,282.24,846.72
310,102,65,3,423.49,1270.47
311,103,48,5,90.18,450.9
312,104,67,5,129.58,647.9
313,104,5,2,41.82,83.64
314,104,44,5,275.97,1379.85
315,104,17,5,208.38,1041.9
316,105,33,2,465.91,931.82
317,105,62,1,24.46,24.46
318,106,33,5,465.91,2329.55
319,106,38,1,308.76,308.76
320,106,80,1,15.77,15.77
321,106,63,3,228.34,685.02
322,107,98,3,497.8,1493.4
323,107,98,5,497.8,2489
324,107,85,4,44.53,178.12
325,107,23,1,374.08,374.08
326,108,14,2,444.98,889.96
327,109,8,4,119.39,477.56
328,109,9,5,475.18,2375.9
329,110,40,4,295.42,1181.68
330,110,69,1,474.83,474.83
331,110,17,5,208.38,1041.9
332,111,72,2,119.47,238.94
333,111,75,1,54.82,54.82
334,111,72,2,119.47,238.94
335,112,2,4,365.81,1463.24
336,112,28,2,338.73,677.46
337,113,25,1,219.41,219.41
338,113,87,1,499.61,499.61
339,113,19,3,153.82,461.46
340,114,30,3,79.6,238.8
341,115,62,2,24.46,48.92
342,116,60,2,285.16,570.32
343,116,94,1,25.54,25.54
344,116,93,1,332.77,332.77
345,116,85,3,44.53,133.59
346,116,69,3,474.83,1424.49
347,117,62,5,24.46,122.3
348,117,21,4,285.68,1142.72
349,117,87,2,499.61,999.22
350,117,73,5,445.17,2225.85
351,117,86,1,306.93,306.93
352,118,71,3,228.07,684.21
353,118,45,2,60.95,121.9
354,119,41,2,129.84,259.68
355,119,7,5,494.45,2472.25
356,120,22,2,132.73,265.46
357,120,82,2,50.53,101.06
358,120,2,3,365.81,1097.43
359,120,19,2,153.82,307.64
360,120,74,4,113.45,453.8
361,121,75,2,54.82,109.64
362,121,41,4,129.84,519.36
363,121,40,5,295.42,1477.1
364,122,22,1,132.73,132.73
365,122,11,5,40.17,200.85
366,122,47,4,195.47,781.88
367,122,81,1,190.81,190.81
368,123,88,5,457.23,2286.15
369,123,44,4,275.97,1103.88
370,123,37,5,344.56,1722.8
371,123,100,1,304.07,304.07
372,123,66,2,484.65,969.3
373,124,29,5,201.64,1008.2
374,124,55,5,148.84,744.2
375,124,85,5,44.53,222.65
376,125,18,5,147.41,737.05
377,125,60,4,285.16,1140.64
378,126,93,3,332.77,998.31
379,126,55,5,148.84,744.2
380,127,18,1,147.41,147.41
381,127,27,3,199.62,598.86
382,127,16,3,165.55,496.65
383,127,84,4,231.72,926.88
384,128,100,3,304.07,912.21
385,128,91,1,267.41,267.41
386,128,98,4,497.8,1991.2
387,128,29,3,201.64,604.92
388,129,49,1,48.28,48.28
389,129,23,1,374.08,374.08
390,129,90,1,495.83,495.83
391,129,63,1,228.34,228.34
392,129,66,4,484.65,1938.6
393,130,32,5,27.18,135.9
394,130,54,4,459.5,1838
395,130,34,4,348.91,1395.64
396,130,61,2,137.94,275.88
397,130,2,1,365.81,365.81
398,131,2,4,365.81,1463.24
399,131,81,5,190.81,954.05
400,131,28,4,338.73,1354.92
401,131,100,5,304.07,1520.35
402,132,31,2,5.09,10.18
403,132,66,5,484.65,2423.25
404,132,89,5,33.05,165.25
405,133,31,4,5.09,20.36
406,133,58,5,125.93,629.65
407,133,63,4,228.34,913.36
408,133,13,4,205.95,823.8
409,133,25,1,219.41,219.41
410,134,55,4,148.84,595.36
411,134,41,3,129.84,389.52
412,134,2,4,365.81,1463.24
413,134,10,1,355.47,355.47
